topic_id,cv_score,cnpmi_score,size,top_words,word_weights
37,0.762699168636552,0.10174147273409936,87,"brazil, amazon, deforestation, rainforest, brazilian, fires, global, bolsonaro, climate, forest","0.0326, 0.0302, 0.0240, 0.0181, 0.0158, 0.0136, 0.0113, 0.0113, 0.0113, 0.0106"
38,0.8629510769212746,0.14260862662840926,85,"steel, orb, tata, industry, electric, newport, british, electrical, plant, chain","0.0656, 0.0222, 0.0199, 0.0166, 0.0142, 0.0127, 0.0115, 0.0114, 0.0113, 0.0105"
39,0.34798965672818893,-0.06827640193244144,85,"give, way, finish, time, will, okay, then, once, progress, no","0.1414, 0.1062, 0.0449, 0.0324, 0.0324, 0.0318, 0.0305, 0.0246, 0.0236, 0.0230"
40,0.5884768245973263,0.014185954187498715,85,"universal, credit, claimants, uc, payments, benefits, pilot, five, poverty, loan","0.0445, 0.0403, 0.0170, 0.0129, 0.0108, 0.0107, 0.0101, 0.0089, 0.0082, 0.0074"
41,0.7214573787968694,0.12316515529545535,83,"maintenance, cms, child, parent, parents, service, arrears, paying, children, pay","0.0307, 0.0250, 0.0202, 0.0176, 0.0162, 0.0124, 0.0108, 0.0107, 0.0094, 0.0090"
42,0.7645454471052182,0.12104525964602637,83,"baby, loss, parents, maternity, bereaved, bereavement, babies, awareness, support, pregnancy","0.0273, 0.0207, 0.0138, 0.0129, 0.0108, 0.0102, 0.0095, 0.0090, 0.0090, 0.0079"
43,0.3912526336176973,-0.11184862516855738,82,"nazanin, iran, iranian, ratcliffe, dual, her, tehran, nationals, zaghari, family","0.0425, 0.0344, 0.0198, 0.0168, 0.0150, 0.0135, 0.0125, 0.0119, 0.0115, 0.0106"
44,0.4132690643622978,-0.08643279397846657,78,"economic, economy, assessment, impact, brexit, chancellor, billion, analysis, deal, no","0.0174, 0.0159, 0.0125, 0.0120, 0.0116, 0.0110, 0.0098, 0.0095, 0.0094, 0.0067"
45,0.5691171407597306,0.041582381196145844,77,"children, missing, unregulated, care, exploitation, authorities, young, local, placed, homes","0.0353, 0.0178, 0.0152, 0.0139, 0.0120, 0.0112, 0.0107, 0.0105, 0.0104, 0.0100"
46,0.47969743612116744,-0.0962672614357711,76,"eu, sis, instrument, si, regulations, plant, exit, transitional, errors, standards","0.0202, 0.0170, 0.0158, 0.0155, 0.0147, 0.0140, 0.0129, 0.0084, 0.0072, 0.0071"
47,0.2996181177634416,-0.09364834264865657,74,"whisky, scotch, tariffs, states, united, malt, trade, distilleries, whiskey, industry","0.0518, 0.0340, 0.0242, 0.0156, 0.0129, 0.0122, 0.0096, 0.0095, 0.0095, 0.0095"
48,0.34102095214626893,-0.187929937811738,74,"report, isc, security, published, reports, intelligence, publication, unusual, russia, committee","0.0260, 0.0172, 0.0140, 0.0132, 0.0111, 0.0098, 0.0098, 0.0094, 0.0093, 0.0092"
49,0.7624402142980172,0.10416203681428395,72,"football, uefa, players, racism, fans, racist, night, fa, game, bulgarian","0.0518, 0.0306, 0.0282, 0.0238, 0.0166, 0.0150, 0.0143, 0.0138, 0.0136, 0.0116"
50,0.2842504058991142,-0.1583578895776571,70,"rose, church, she, chaplain, her, you, prayers, reverend, god, wilkin","0.0385, 0.0169, 0.0167, 0.0156, 0.0153, 0.0138, 0.0128, 0.0124, 0.0123, 0.0106"
51,0.4078803866515428,-0.06037714559056921,69,"online, harms, verification, pornography, children, age, media, internet, agenda, white","0.0398, 0.0284, 0.0165, 0.0156, 0.0116, 0.0115, 0.0108, 0.0097, 0.0086, 0.0079"
52,0.3268217919234652,-0.16114854353525102,66,"language, threats, conduct, members, house, you, speaker, mr, abuse, behaviour","0.0199, 0.0159, 0.0080, 0.0079, 0.0079, 0.0073, 0.0072, 0.0072, 0.0070, 0.0068"
53,0.6599753935847045,0.08043232760434747,65,"women, prison, female, offenders, sentences, custody, justice, strategy, custodial, centres","0.0440, 0.0302, 0.0189, 0.0187, 0.0142, 0.0127, 0.0111, 0.0107, 0.0095, 0.0088"
54,0.4239107636618739,-0.010023275947118727,65,"poverty, child, children, food, scotland, living, households, banks, benefits, scottish","0.0490, 0.0266, 0.0150, 0.0133, 0.0118, 0.0076, 0.0070, 0.0068, 0.0067, 0.0064"
55,0.28261180014802845,-0.26474855125604957,63,"hs2, project, review, oakervee, ltd, secretary, state, transport, phase, cost","0.0633, 0.0177, 0.0156, 0.0125, 0.0113, 0.0093, 0.0091, 0.0090, 0.0087, 0.0070"
56,0.29667598144557034,-0.24421148989908278,61,"yellowhammer, document, operation, documents, scenario, no, deal, duchy, government, worst","0.0377, 0.0145, 0.0141, 0.0133, 0.0114, 0.0105, 0.0104, 0.0086, 0.0082, 0.0082"
57,0.5158007974277421,-0.033867269713033984,61,"slavery, trafficking, modern, victims, trafficked, prostitution, human, ireland, northern, immigration","0.0281, 0.0226, 0.0215, 0.0193, 0.0122, 0.0117, 0.0115, 0.0098, 0.0096, 0.0094"
58,0.7956680652373362,0.20956245464085288,60,"cattle, badgers, tb, badger, disease, farmers, culling, cull, vaccination, bovine","0.0363, 0.0341, 0.0297, 0.0277, 0.0223, 0.0187, 0.0176, 0.0171, 0.0128, 0.0128"
59,0.6377643998092848,0.013505051992571388,59,"endometriosis, women, condition, workplace, pain, diagnosis, employers, she, sick, had","0.0443, 0.0225, 0.0182, 0.0157, 0.0150, 0.0104, 0.0097, 0.0085, 0.0085, 0.0084"
60,0.3074480658353848,-0.23927583291932247,59,"lady, give, way, hon, will, burst, intervene, am, sealed, accent","0.1871, 0.1712, 0.1261, 0.0583, 0.0393, 0.0264, 0.0167, 0.0154, 0.0143, 0.0139"
61,0.4209905903401248,-0.04874701059508762,59,"leasehold, leaseholders, freehold, lease, ground, redrow, commonhold, rents, developers, leases","0.0373, 0.0227, 0.0135, 0.0129, 0.0107, 0.0104, 0.0093, 0.0091, 0.0084, 0.0080"
62,0.37876368143209754,-0.10888659829772561,57,"judges, judiciary, judicial, court, appointments, supreme, lord, political, independence, diversity","0.0332, 0.0274, 0.0234, 0.0213, 0.0191, 0.0151, 0.0137, 0.0125, 0.0123, 0.0087"
63,0.3480539698580063,-0.012708834026591542,57,"children, syria, refugees, unaccompanied, ceasefire, resettlement, orphans, minors, camps, vulnerable","0.0243, 0.0186, 0.0185, 0.0165, 0.0151, 0.0143, 0.0136, 0.0135, 0.0104, 0.0102"
64,0.4957564008149205,0.042533205117731405,57,"diabetes, type, obesity, prevention, diabetic, strangford, sugar, messaging, health, weight","0.0656, 0.0275, 0.0115, 0.0110, 0.0107, 0.0083, 0.0082, 0.0081, 0.0079, 0.0077"
65,0.5409278272193271,0.046121878728290835,57,"children, citizenship, status, scheme, leavers, looked, care, settled, nationality, immigration","0.0337, 0.0193, 0.0161, 0.0135, 0.0131, 0.0124, 0.0120, 0.0112, 0.0102, 0.0095"
66,0.441663680907226,-0.09420245116480784,57,"december, thursday, election, polling, elections, 12, monday, students, vote, days","0.0238, 0.0228, 0.0205, 0.0160, 0.0142, 0.0131, 0.0113, 0.0109, 0.0103, 0.0096"
67,0.29846553270568477,-0.18950628021893978,56,"give, way, gentleman, right, hon, learned, will, lady, beseech, the","0.2578, 0.1900, 0.1726, 0.1207, 0.0769, 0.0668, 0.0559, 0.0522, 0.0210, 0.0085"
68,0.4643731581325839,-0.0005825700842538278,55,"saudi, arabia, rights, human, women, prince, salman, al, detention, khashoggi","0.0517, 0.0398, 0.0139, 0.0123, 0.0084, 0.0076, 0.0074, 0.0074, 0.0066, 0.0059"
69,0.3637384945962272,-0.18034472552344044,55,"chancellor, spending, debt, economy, fiscal, deficit, labour, borrowing, decade, our","0.0148, 0.0125, 0.0110, 0.0106, 0.0103, 0.0097, 0.0087, 0.0082, 0.0072, 0.0071"
70,0.33997588341555995,-0.07999776399929623,55,"queen, speech, country, our, brexit, prime, greatest, and, this, government","0.0152, 0.0141, 0.0066, 0.0059, 0.0055, 0.0053, 0.0051, 0.0045, 0.0045, 0.0044"
71,0.5013305691398291,0.021701720717059794,55,"radiotherapy, cancer, treatment, survival, patients, lung, diagnosis, machines, nhs, screening","0.0661, 0.0560, 0.0193, 0.0124, 0.0111, 0.0108, 0.0108, 0.0100, 0.0094, 0.0092"
72,0.46990833618653155,-0.16004090005298416,54,"spanish, spain, catalonia, catalan, courts, independence, constitution, matter, handed, legal","0.0564, 0.0469, 0.0345, 0.0159, 0.0153, 0.0137, 0.0107, 0.0102, 0.0100, 0.0098"
73,0.6789826499106408,0.14159225108401877,54,"special, educational, needs, children, schools, send, school, suffolk, education, mainstream","0.0289, 0.0283, 0.0251, 0.0222, 0.0178, 0.0169, 0.0152, 0.0139, 0.0135, 0.0107"
74,0.34372096645156086,-0.11123735481320078,54,"trade, nhs, deals, agreements, privatisation, services, table, us, petition, petitioners","0.0325, 0.0288, 0.0154, 0.0139, 0.0088, 0.0078, 0.0076, 0.0073, 0.0069, 0.0065"
75,0.6981523539671806,0.0994041544040472,53,"bus, transport, services, buses, rural, public, communities, concessionary, fares, cumbria","0.0577, 0.0229, 0.0204, 0.0194, 0.0194, 0.0106, 0.0100, 0.0098, 0.0094, 0.0090"
76,0.710737038853419,0.051071749095031725,53,"retail, shop, crime, shops, shoplifting, violence, theft, police, staff, usdaw","0.0312, 0.0302, 0.0263, 0.0159, 0.0129, 0.0105, 0.0105, 0.0105, 0.0095, 0.0088"
77,0.26475075318765307,-0.13021120736389577,52,"order, speaker, mr, point, on, further, retraction, barracked, madam, of","0.2866, 0.2057, 0.1948, 0.1866, 0.0395, 0.0251, 0.0223, 0.0223, 0.0192, 0.0183"
78,0.5432252782929762,0.01889052092398137,51,"music, education, curriculum, arts, schools, school, musical, ebacc, hubs, bury","0.0907, 0.0204, 0.0169, 0.0142, 0.0130, 0.0110, 0.0107, 0.0105, 0.0096, 0.0092"
79,0.40150896267206865,-0.10088603962178636,51,"kashmir, indian, dispute, pakistan, india, petition, kashmiri, human, rights, international","0.0898, 0.0334, 0.0233, 0.0220, 0.0200, 0.0186, 0.0169, 0.0161, 0.0143, 0.0136"
80,0.5201391867259451,-0.07549692096340244,51,"court, supreme, attorney, judgment, general, law, advice, decision, constitutional, judges","0.0356, 0.0332, 0.0323, 0.0234, 0.0183, 0.0120, 0.0095, 0.0092, 0.0087, 0.0087"
81,0.8437477079431326,0.08176290287746193,51,"pension, credit, pensioners, tv, older, bbc, licences, pensioner, entitled, poverty","0.0483, 0.0392, 0.0287, 0.0171, 0.0164, 0.0133, 0.0115, 0.0112, 0.0107, 0.0095"
82,0.6271904813820612,0.032059227150834334,51,"pharmacies, pharmacy, community, pharmacists, prescriptions, pharmacist, patients, halifax, prescription, service","0.0523, 0.0353, 0.0270, 0.0170, 0.0125, 0.0116, 0.0096, 0.0082, 0.0077, 0.0076"
83,0.6598380938639664,0.1581473165795657,50,"hunting, trophy, lions, animals, species, trophies, ban, conservation, lion, animal","0.0390, 0.0352, 0.0197, 0.0162, 0.0152, 0.0148, 0.0143, 0.0143, 0.0130, 0.0118"
84,0.24368031107365076,-0.2554373931179608,50,"give, way, minister, will, marriages, encomium, debated, zoroastrianism, pruning, jainism","0.2014, 0.1484, 0.1120, 0.0499, 0.0318, 0.0242, 0.0231, 0.0224, 0.0224, 0.0214"
85,0.4722406866277787,-0.13806080807845214,50,"amendments, proceedings, shall, motion, order, amendment, any, lords, table, bill","0.0406, 0.0293, 0.0253, 0.0244, 0.0225, 0.0203, 0.0183, 0.0172, 0.0137, 0.0137"
86,0.7525872241072515,0.32585626457483513,49,"census, ons, identity, lgbt, gender, sikhs, tick, orientation, questions, sikh","0.0559, 0.0234, 0.0221, 0.0218, 0.0159, 0.0144, 0.0129, 0.0127, 0.0126, 0.0115"
87,0.6567989353005979,0.09179866267758725,48,"image, body, eating, mental, disorders, cosmetic, health, young, people, media","0.0300, 0.0265, 0.0182, 0.0145, 0.0143, 0.0116, 0.0112, 0.0104, 0.0097, 0.0089"
88,0.3924142781472573,-0.14209583717000143,46,"disability, dfid, disabilities, inclusion, disabled, committee, development, neglected, inclusive, work","0.0433, 0.0264, 0.0232, 0.0171, 0.0161, 0.0105, 0.0096, 0.0085, 0.0084, 0.0084"
89,0.47837096194897494,0.023547514921371842,46,"internet, data, technology, iot, things, devices, security, cyber, technological, regulation","0.0274, 0.0185, 0.0134, 0.0132, 0.0128, 0.0118, 0.0089, 0.0083, 0.0076, 0.0062"
90,0.5334421851145649,-0.16435579031587882,45,"calais, kent, hauliers, lorries, customs, goods, dover, compliant, hmrc, freight","0.0209, 0.0178, 0.0166, 0.0165, 0.0160, 0.0159, 0.0144, 0.0136, 0.0134, 0.0133"
91,0.29852272120724904,-0.15282018226275984,44,"armed, forces, army, cadet, recruitment, cadets, reserve, capita, recruit, soldiers","0.0560, 0.0512, 0.0317, 0.0265, 0.0162, 0.0149, 0.0121, 0.0119, 0.0113, 0.0109"
92,0.5006720678491083,-0.04570730385156659,44,"visitors, health, visitor, visiting, early, maternal, children, child, mental, breastfeeding","0.0472, 0.0411, 0.0167, 0.0110, 0.0109, 0.0100, 0.0092, 0.0084, 0.0076, 0.0064"
93,0.8731912722434608,0.22198024186916687,44,"park, site, residents, owners, homes, caravan, home, licence, christchurch, sites","0.0441, 0.0280, 0.0197, 0.0181, 0.0171, 0.0138, 0.0136, 0.0130, 0.0122, 0.0120"
94,0.25108207191612164,-0.22872770669751286,44,"give, gentleman, way, hon, song, cherokees, will, œwatch, byâ, galloping","0.2117, 0.1996, 0.1560, 0.0714, 0.0580, 0.0508, 0.0467, 0.0274, 0.0254, 0.0254"
