topic_id,topic_name,size
333,333_criminals_foreign_offenders_deported,20
334,334_suicide_internet_selfharm_prevention,20
335,335_give_gentleman_way_shall,20
336,336_give_way_answer_minister,20
337,337_clause_articles_provisions_removal,20
338,338_nhs_health_patients_privatisation,20
339,339_maths_mathematics_gcse_calculators,20
340,340_navy_shipbuilding_portsmouth_dockyard,20
341,341_transparency_openness_a4e_neuteredalthough,20
342,342_clause_amendment_amendments_metal,20
343,343_libya_libyan_arab_league,20
344,344_warrant_arrest_european_opt,20
345,345_solicitor_litigation_lawyer_official,19
346,346_briefly_seldom_occasional_slowly,19
347,347_36_claimed_closure_standing,19
348,348_sport_sports_sporting_participation,19
349,349_credits_families_tax_511,19
350,350_none_youre_49_considerably,19
351,351_draft_scrutinise_bill_joint,19
352,352_councils_council_transitional_tax,19
353,353_lords_presentational_house_recess,19
354,354_lay_draft_order_committee,19
355,355_arctic_medal_medals_convoys,18
356,356_fgm_girls_mutilation_genital,18
357,357_cap_26000_35000_benefit,18
358,358_emergency_interoperability_services_communications,18
359,359_innovation_business_skills_œlets,18
360,360_cancer_esa_recovering_365,18
361,361_homes_bonus_estimate_starts,18
362,362_hole_black_38_billion,18
363,363_restorative_justice_victims_criminal,18
364,364_average_salary_pretax_earning,17
365,365_armed_forces_firstbuy_housing,17
366,366_allwomen_shortlists_shortlist_diversity,17
367,367_territories_overseas_cpa_commonwealth,17
368,368_traveller_encampments_gypsy_sites,17
369,369_course_notoh_yes_obviously,17
370,370_give_last_way_time,17
371,371_labour_sandison_gritted_hamish,17
372,372_deficit_debt_inherited_œthatd,17
373,373_please_leader_next_week,17
374,374_hours_sitting_interruption_familyfriendly,17
375,375_rebate_away_return_cap,16
376,376_intervene_intervention_witty_ah,16
377,377_whiplash_claims_apil_consult,16
378,378_damages_lawyers_claimants_claims,16
379,379_security_ireland_northern_assessment,16
380,380_bedroom_hit_housing_tax,16
381,381_bulbs_lighting_incandescent_lowenergy,16
382,382_progress_make_yes_going,16
383,383_exports_china_emerging_india,16
384,384_remploy_factories_disabled_factory,16
385,385_bangladesh_ali_bangladeshi_disappearance,16
386,386_vietnam_vietnamese_vietnams_partnership,16
387,387_nigeria_dfid_girls_education,16
388,388_mental_patients_doctors_shas,16
389,389_landlords_tenancy_antisocial_tenants,15
390,390_organ_donation_transplant_organs,15
391,391_whistleblowers_whistleblowing_disclosure_legislation,15
392,392_material_advocates_closed_procedure,15
393,393_ford_southampton_plant_dagenham,15
394,394_bags_plastic_bag_carrier,15
395,395_insurance_car_consumer_insurers,15
396,396_video_games_animation_highend,15
397,397_businesses_small_regulation_business,15
398,398_startups_creative_providing_industries,15
399,399_cuts_lady_cutting_inattention,15
400,400_gambling_racing_betting_bookmakers,15
401,401_accounts_sheet_liabilities_audit,15
402,402_war_memorials_commemorate_anniversary,15
403,403_leader_deputy_give_house,15
404,404_allowance_enterprise_selfemployment_jobseekers,15
405,405_savings_insurance_committees_committee,15
406,406_stillbirth_stillbirths_sands_baby,15
407,407_localism_permitted_bromley_œundermine,14
408,408_carers_young_caring_carer,14
409,409_steps_taking_training_education,14
410,410_air_quality_suppressants_pollution,14
411,411_hear_hearse_wrongthat_weak,14
412,412_leader_next_week_business,14
413,413_hours_credits_couples_connolly,14
414,414_writer_say_said_dont,14
415,415_nuclear_deterrent_weapons_proliferation,14
416,416_tsa_lewisham_trust_healthcare,14
417,417_intercept_evidence_admissible_material,14
418,418_constituency_pinner_ruislip_northwood,14
419,419_affairs_rural_environment_food,14
420,420_food_prices_inflation_families,14
421,421_durham_councils_wokingham_county,14
422,422_mining_companies_extractive_opencast,14
423,423_northeast_region_regions_rda,14
424,424_chancellor_winston_growth_economy,14
425,425_freelancers_bbc_salaries_salary,13
426,426_nigeria_church_zimbabwe_archbishop,13
427,427_absolutely_totally_yes_sure,13
428,428_give_gentleman_way_hon,13
429,429_go_thenone_oh_voted,13
430,430_nursing_nurses_ward_profession,13
431,431_rural_broadband_countryside_areas,13
432,432_late_payment_prompt_smes,13
433,433_wales_leaks_welsh_barnett,13
434,434_azerbaijan_baku_journalists_rights,13
435,435_crime_2010_assessment_since,12
436,436_drawdown_commanders_force_equipment,12
437,437_saws_migration_eu_bulgaria,12
438,438_jobs_job_unemployed_sundays,12
439,439_bushel_give_spoof_point,12
440,440_food_production_land_prices,12
441,441_negotiations_signatories_cartel_œassurancesa,12
442,442_adjourned_fortuitous_112_sudden,12
443,443_yorkshire_tour_da_grand,12
444,444_lottery_causes_675_olympic,12
445,445_sport_sports_tennis_facilities,12
446,446_allegation_untrue_spectator_chancellor,12
447,447_jobseekers_experience_undertaking_assessment,12
