topic_id,cv_score,size,top_words,word_weights
41,0.6575136823140192,212,"armed, forces, personnel, pay, army, recruitment, service, flexible, retention, defence","0.029, 0.026, 0.014, 0.011, 0.011, 0.008, 0.007, 0.006, 0.005, 0.005"
42,0.5293694363022626,211,"tax, avoidance, evasion, papers, hmrc, offshore, companies, havens, isle, paradise","0.036, 0.026, 0.015, 0.008, 0.008, 0.007, 0.007, 0.007, 0.006, 0.006"
43,0.6427090689932871,205,"travellers, traveller, encampments, gypsy, sites, unauthorised, illegal, gypsies, community, police","0.024, 0.023, 0.020, 0.015, 0.013, 0.012, 0.011, 0.010, 0.009, 0.008"
44,0.5704877502294405,204,"pay, sector, public, workers, cap, rise, bodies, wages, servants, nurses","0.031, 0.029, 0.026, 0.021, 0.017, 0.008, 0.006, 0.005, 0.005, 0.005"
45,0.25552929311599204,202,"lady, give, way, hon, will, itching, the, she, plough, chat","0.248, 0.208, 0.160, 0.056, 0.041, 0.006, 0.006, 0.005, 0.005, 0.005"
46,0.7055249653360124,194,"slavery, detention, torture, trafficking, modern, asylum, victims, immigration, detained, vulnerable","0.022, 0.021, 0.019, 0.014, 0.012, 0.011, 0.010, 0.009, 0.007, 0.007"
47,0.46187293331457735,191,"bbc, licence, fee, news, media, channel, local, newspapers, radio, tv","0.055, 0.014, 0.013, 0.011, 0.007, 0.007, 0.006, 0.006, 0.006, 0.006"
48,0.5066008152227864,189,"post, office, mail, offices, royal, delivery, branches, postal, crown, closures","0.051, 0.034, 0.026, 0.021, 0.015, 0.010, 0.010, 0.010, 0.009, 0.009"
49,0.4564769569481262,187,"gerald, his, he, member, you, speaker, house, thank, was, speech","0.017, 0.009, 0.008, 0.007, 0.007, 0.007, 0.007, 0.005, 0.005, 0.005"
50,0.6493883966372778,185,"amendment, amendments, clause, legislation, bill, learned, instruments, schedule, committee, powers","0.016, 0.015, 0.014, 0.007, 0.006, 0.006, 0.005, 0.005, 0.005, 0.005"
51,0.8091218156112168,185,"drug, drugs, addiction, misuse, cannabis, heroin, alcohol, deaths, strategy, treatment","0.036, 0.032, 0.013, 0.011, 0.011, 0.010, 0.010, 0.010, 0.009, 0.009"
52,0.38327521731968806,180,"warrant, arrest, europol, european, operation, co, justice, eu, criminal, security","0.021, 0.021, 0.017, 0.014, 0.010, 0.010, 0.010, 0.009, 0.009, 0.009"
53,0.5207769716339875,172,"charter, rights, law, fundamental, human, court, eu, protection, european, case","0.052, 0.033, 0.018, 0.014, 0.011, 0.007, 0.006, 0.006, 0.006, 0.006"
54,0.7113901360298929,172,"flood, flooding, water, catchment, defences, management, floods, environment, risk, agency","0.045, 0.027, 0.013, 0.012, 0.011, 0.011, 0.011, 0.009, 0.009, 0.008"
55,0.29135227457348567,172,"opposition, days, bills, house, committees, majority, session, debates, private, motions","0.016, 0.011, 0.010, 0.010, 0.009, 0.009, 0.008, 0.008, 0.007, 0.007"
56,0.790217829855393,171,"lgbt, gay, merchant, homosexual, act, navy, equality, homosexuality, discrimination, rights","0.023, 0.015, 0.014, 0.013, 0.010, 0.009, 0.009, 0.007, 0.006, 0.006"
57,0.576315708704889,170,"city, culture, swansea, bid, stoke, cultural, trent, coventry, arts, perth","0.039, 0.037, 0.023, 0.020, 0.017, 0.013, 0.013, 0.011, 0.010, 0.010"
58,0.5150871697656854,168,"russian, ukraine, russia, ukrainian, putin, russians, corruption, interference, foreign, soviet","0.027, 0.026, 0.026, 0.011, 0.009, 0.006, 0.006, 0.006, 0.006, 0.005"
59,0.9426371883352095,165,"dogs, dog, puppies, animal, puppy, animals, welfare, pet, cruelty, breeders","0.031, 0.026, 0.025, 0.025, 0.024, 0.015, 0.015, 0.015, 0.014, 0.011"
60,0.5521349234960033,165,"women, female, men, parliament, gender, mps, representation, equalities, shortlists, candidates","0.029, 0.017, 0.008, 0.007, 0.007, 0.007, 0.006, 0.006, 0.006, 0.005"
61,0.21124298783199325,163,"give, way, friend, my, hon, will, pithiness, tempt, thankful, frightened","0.230, 0.178, 0.119, 0.068, 0.063, 0.045, 0.009, 0.007, 0.006, 0.006"
62,0.7405346888468974,156,"electoral, registration, voter, register, fraud, commission, id, voting, vote, registered","0.059, 0.036, 0.027, 0.025, 0.017, 0.015, 0.015, 0.011, 0.011, 0.011"
63,0.6495867302840139,155,"radio, stations, dab, digital, community, multiplexes, multiplex, broadcast, small, station","0.065, 0.030, 0.022, 0.016, 0.016, 0.013, 0.012, 0.011, 0.011, 0.011"
64,0.7771256709804683,150,"parking, charges, car, town, park, dvla, local, parks, councils, centres","0.055, 0.024, 0.022, 0.015, 0.010, 0.010, 0.009, 0.008, 0.007, 0.007"
65,0.8970881806937079,149,"religious, religion, freedom, belief, christians, christian, persecution, faith, beliefs, pakistan","0.026, 0.022, 0.020, 0.018, 0.018, 0.012, 0.011, 0.009, 0.008, 0.008"
66,0.8450296789758417,145,"smoking, tobacco, cigarettes, vaping, smoke, smokers, plan, products, health, cessation","0.057, 0.037, 0.024, 0.022, 0.017, 0.013, 0.011, 0.010, 0.009, 0.009"
67,0.62938873939236,141,"pay, nhs, nurses, staff, nursing, cap, restraint, nurse, agenda, profession","0.029, 0.023, 0.021, 0.015, 0.012, 0.011, 0.008, 0.008, 0.006, 0.005"
68,0.6420282839428706,140,"iran, nazanin, iranian, ratcliffe, zaghari, foreign, human, dual, release, rights","0.043, 0.026, 0.024, 0.020, 0.013, 0.010, 0.010, 0.009, 0.009, 0.008"
69,0.7337172036038339,138,"airport, heathrow, airports, expansion, runway, noise, regional, tees, aviation, flights","0.039, 0.038, 0.030, 0.015, 0.015, 0.013, 0.011, 0.011, 0.010, 0.009"
70,0.7541581281174639,138,"childcare, hours, parents, nurseries, nursery, 30, providers, children, free, early","0.042, 0.026, 0.023, 0.023, 0.019, 0.018, 0.013, 0.010, 0.010, 0.008"
71,0.8975859996117304,137,"fishing, fisheries, fish, fishermen, bass, waters, sea, industry, catch, quota","0.038, 0.032, 0.024, 0.022, 0.012, 0.010, 0.010, 0.010, 0.009, 0.008"
72,0.6858275491974998,136,"prevent, extremism, terrorism, counter, communities, terrorist, strategy, radicalisation, muslim, mi5","0.028, 0.022, 0.020, 0.011, 0.008, 0.007, 0.007, 0.006, 0.006, 0.006"
73,0.8846953500136339,128,"ivory, elephants, ban, elephant, wildlife, trade, poaching, 1947, antiques, illegal","0.058, 0.030, 0.022, 0.014, 0.013, 0.012, 0.012, 0.011, 0.010, 0.009"
74,0.6957756113398503,126,"tax, corporation, taxes, gap, labour, rate, income, rates, revenue, billion","0.051, 0.032, 0.013, 0.012, 0.011, 0.010, 0.009, 0.008, 0.008, 0.008"
75,0.7372842259869861,125,"industrial, strategy, science, sciences, research, productivity, innovation, industries, strengths, economy","0.028, 0.024, 0.010, 0.009, 0.008, 0.008, 0.007, 0.007, 0.007, 0.006"
76,0.7948836361084977,124,"autism, autistic, diagnosis, mental, spectrum, health, waiting, disorder, suicide, adults","0.057, 0.031, 0.026, 0.015, 0.014, 0.012, 0.008, 0.008, 0.007, 0.006"
77,0.8765495574412717,123,"smart, meters, meter, energy, consumers, roll, smets, suppliers, metering, installed","0.062, 0.052, 0.035, 0.024, 0.018, 0.014, 0.013, 0.013, 0.011, 0.010"
78,0.73387942853798,123,"emergency, assaults, assault, workers, officers, police, staff, offence, worker, nhs","0.025, 0.022, 0.017, 0.015, 0.011, 0.011, 0.011, 0.009, 0.009, 0.008"
